Altium Designer Pick and Place Locations
C:\Applications\hardware\pca10184\trunk\production_files\400861_pick_and_place.csv

========================================================================================================================
File Design Information:

Date:       10.02.26
Time:       09:31
Revision:   41237
Variant:    pca10184 - Main
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"L9","DLM0NSM900HY2D","TopLayer","CMC0806X05N","12.5000","24.1342","270","2 Line Common Mode Choke, 90Ohm @ 100MHz, Imax=100mA, DCR=4Ohm, VDC=5V,  -40°C ~ 85°C"
"L8","DLM0NSM900HY2D","TopLayer","CMC0806X05N","12.5000","39.3705","270","2 Line Common Mode Choke, 90Ohm @ 100MHz, Imax=100mA, DCR=4Ohm, VDC=5V,  -40°C ~ 85°C"
"D2","PRTR5V0U2F,115","TopLayer","SON50P100X50-6N","9.5998","24.1342","180","TVS DIODE 5.5VWM 6XSON"
"D1","PRTR5V0U2F,115","TopLayer","SON50P100X50-6N","9.5998","39.3704","180","TVS DIODE 5.5VWM 6XSON"
"R57","150R","TopLayer","RESC0603X03L_C","28.8929","21.0601","0","Resistor, ±1%, 0.05W"
"C8","1.0pF","TopLayer","CAPC0603X03L_C","129.1589","32.6106","270","CAP CER 1.0PF 25V C0G/NP0 0201"
"L5","1.0nH","TopLayer","INDC0603X03L_C","128.6358","32.6106","90","Inductor, 750mA, ±0.2nH"
"P17","Pin Hdr 2x13","TopLayer","HDR_2x13-SMD","66.8600","12.7000","0","Pin Header 2x13, 2.54mm (100mil) SMD"
"U15","TMUX1574","TopLayer","XQFN40P180X260X50-16N","94.7499","29.4832","180","Low-Capacitance, 2:1 (SPDT) 4-Channel, analog switch"
"U12","TXB0104","TopLayer","QFN12P40_170X200X55L50X20","30.6286","12.0058","0","4-Bit Bidirectional Level-Shifter/Voltage Translator with Automatic Direction Sensing"
"R12","150R","TopLayer","RESC0603X03L_C","19.5674","28.3370","90","Resistor, ±1%, 0.05W"
"C62","100nF","TopLayer","CAPC0603X03L_C","94.1677","27.2664","180","Capacitor, X5R, ±10%"
"U16","TMUX1574","TopLayer","XQFN40P180X260X50-16N","105.2234","29.4954","0","Low-Capacitance, 2:1 (SPDT) 4-Channel, analog switch"
"U14","TXB0104","TopLayer","QFN12P40_170X200X55L50X20","30.6286","22.1674","0","4-Bit Bidirectional Level-Shifter/Voltage Translator with Automatic Direction Sensing"
"U13","TXB0104","TopLayer","QFN12P40_170X200X55L50X20","30.6286","17.1465","0","4-Bit Bidirectional Level-Shifter/Voltage Translator with Automatic Direction Sensing"
"TP35","Ø0.7mm,SMD","TopLayer","TP_SMD_D0.7mm","20.7607","53.4969","0","0.7mm circular SMD testpad"
"TP34","Ø0.7mm,SMD","TopLayer","TP_SMD_D0.7mm","93.2212","26.2159","0","0.7mm circular SMD testpad"
