Altium Designer Pick and Place Locations
D:\SVN\applications\hardware\pca63571\trunk\production_files\400902_pick_and_place.csv

========================================================================================================================
File Design Information:

Date:       15.10.25
Time:       14:00
Revision:   39290
Variant:    Default
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Rotation","Description","Variation"
"A1","NN03-320","TopLayer","NN03-320","29.2572","49.1900","29.2572","49.1900","0","Dual-Band GNSS and Wi-Fi/BluetoothAntenna","Fitted"
"C1","4.7µF","TopLayer","CAPC1608X06L","19.3324","25.4255","19.3324","25.4255","90","Capacitor, Ceramic, 4.7µF 25V X6S 0603,±10%","Fitted"
"C2","4.7µF","TopLayer","CAPC1608X06L","18.8866","22.6317","18.8866","22.6317","270","Capacitor, Ceramic, 4.7µF 25V X6S 0603,±10%","Fitted"
"C3","0.22µF","TopLayer","CAPC0603X03L_C","18.0180","31.9592","18.0180","31.9592","0","Capacitor, Ceramic, 0.22µF 10V X5R 0201, ±10%","Fitted"
"C4","0.47µF","TopLayer","CAPC0603X03L_C","23.4992","23.0517","23.4992","23.0517","270","Capacitor, Ceramic, 0.47µF 6.3V X5R 0201,±10%","Fitted"
"C5","1.0µF","TopLayer","CAPC1005X04L","17.9620","27.1908","17.9620","27.1908","0","Capacitor, Ceramic, 1.0µF 35V X5R 0402,±10%","Fitted"
"C6","4.7µF","TopLayer","CAPC1608X06L","17.4606","33.4806","17.4606","33.4806","0","Capacitor, Ceramic, 4.7µF 25V X6S 0603,±10%","Fitted"
"C7","2.2µF","TopLayer","CAPC1608X06L","24.7959","24.0826","24.7959","24.0826","270","Capacitor, Ceramic, 2.2µF 16V X7S 0603,±10%","Fitted"
"C8","10nF","TopLayer","CAPC0603X03L_C","22.2585","25.9155","22.2585","25.9155","270","Capacitor, Ceramic, 10nF 16V X7R 0201,±10%","Fitted"
"C9","2.2µF","TopLayer","CAPC1005X04L","26.6302","25.0372","26.6302","25.0372","90","Capacitor, Ceramic, 2.2µF 25V X5R 0402,±10%","Fitted"
"C10","1.0µF","TopLayer","CAPC1005X04L","25.7943","24.6668","25.7943","24.6668","270","Capacitor, Ceramic, 1.0µF 16V X6S 0402,±10%","Fitted"
"C11","4.7µF","TopLayer","CAPC1608X06L","19.2851","35.5634","19.2851","35.5634","270","Capacitor, Ceramic, 4.7µF 25V X6S 0603,±10%","Fitted"
"C12","100nF","TopLayer","CAPC0603X03L_C","20.8485","34.9466","20.8485","34.9466","90","Capacitor, Ceramic, 100nF 16V X7S 0201,±10%","Fitted"
"C13","22nF","TopLayer","CAPC0603X03L_C","18.3315","32.6262","18.3315","32.6262","0","Capacitor, Ceramic, 22nF 10V X5R 0201,±10%","Fitted"
"C14","0.47µF","TopLayer","CAPC0603X03L_C","20.2317","34.4322","20.2317","34.4322","270","Capacitor, Ceramic, 0.47µF 6.3V X5R 0201,±10%","Fitted"
"C15","2.2µF","TopLayer","CAPC0603X03L_C","18.1620","31.2449","18.1620","31.2449","0","Capacitor, Ceramic, 2.2µF 10V X5R 0201,±10%","Fitted"
